,TP,Predict_counts,Correct_counts
000568.XSHE,0.5625,160,90
000630.XSHE,0.5,68,34
000559.XSHE,0.5078125,128,65
000413.XSHE,0.483606557377,122,59
000728.XSHE,0.450381679389,131,59
000002.XSHE,0.572916666667,96,55
000540.XSHE,0.590361445783,83,49
000402.XSHE,0.628318584071,113,71
000060.XSHE,0.608333333333,120,73
000538.XSHE,0.593984962406,133,79
000166.XSHE,0.5,4,2
000425.XSHE,0.403846153846,104,42
000157.XSHE,0.469879518072,83,39
000069.XSHE,0.565891472868,129,73
000725.XSHE,0.516129032258,124,64
000415.XSHE,0.520547945205,73,38
000423.XSHE,0.548148148148,135,74
000503.XSHE,0.482014388489,139,67
000623.XSHE,0.464912280702,114,53
000001.XSHE,0.482142857143,56,27
000333.XSHE,0.555555555556,81,45
000627.XSHE,0.530303030303,132,70
000651.XSHE,0.614035087719,114,70
000063.XSHE,0.569536423841,151,86
000709.XSHE,0.571428571429,98,56
000100.XSHE,0.509259259259,108,55
000723.XSHE,0.625,128,80
000338.XSHE,0.571428571429,147,84
000671.XSHE,0.581395348837,129,75
000625.XSHE,0.425925925926,108,46
