,TP,Predict_counts,Correct_counts,
600438.XSHG,0.594594595,148,88,1
000630.XSHE,0.504761905,105,53,1
601216.XSHG,0.534246575,146,78,1
002146.XSHE,0.640449438,178,114,1
601857.XSHG,0.553571429,56,31,1
601919.XSHG,0.427480916,131,56,0
600036.XSHG,0.630434783,92,58,1
600111.XSHG,0.4,130,52,0
600115.XSHG,0.455882353,136,62,0
600436.XSHG,0.566666667,150,85,1
600741.XSHG,0.580838323,167,97,1
600100.XSHG,0.517241379,145,75,1
000876.XSHE,0.553191489,94,52,1
002460.XSHE,0.559006211,161,90,1
002602.XSHE,0.429906542,107,46,0
601788.XSHG,0.468468468,111,52,0
002450.XSHE,0.53960396,202,109,1
002797.XSHE,0.380952381,21,8,0
300033.XSHE,0.43902439,164,72,0
600011.XSHG,0.6,90,54,1
601866.XSHG,0.554455446,101,56,1
000783.XSHE,0.6,115,69,1
000540.XSHE,0.508196721,122,62,1
002202.XSHE,0.617834395,157,97,1
300059.XSHE,0.579365079,126,73,1
600066.XSHG,0.511278195,133,68,1
601088.XSHG,0.528301887,106,56,1
600900.XSHG,0.534246575,73,39,1
002008.XSHE,0.577319588,194,112,1
600498.XSHG,0.494186047,172,85,0
002572.XSHE,0.52173913,138,72,1
000425.XSHE,0.482517483,143,69,0
000961.XSHE,0.538922156,167,90,1
000069.XSHE,0.6,155,93,1
600489.XSHG,0.52991453,117,62,1
001979.XSHE,0.638297872,47,30,1
600332.XSHG,0.541984733,131,71,1
601166.XSHG,0.475247525,101,48,0
600025.XSHG,0.5,2,1,0
600682.XSHG,0.517482517,143,74,1
600583.XSHG,0.566433566,143,81,1
600977.XSHG,0.48,25,12,0
601992.XSHG,0.504065041,123,62,1
600516.XSHG,0.574585635,181,104,1
002601.XSHE,0.635036496,137,87,1
600406.XSHG,0.59375,128,76,1
601021.XSHG,0.568965517,58,33,1
601229.XSHG,0.5,10,5,0
300433.XSHE,0.52173913,69,36,1
601108.XSHG,0.6,5,3,1
000768.XSHE,0.51875,160,83,1
002925.XSHE,0.5,8,4,0
000559.XSHE,0.560509554,157,88,1
600010.XSHG,0.554455446,101,56,1
600637.XSHG,0.576576577,111,64,1
000338.XSHE,0.58125,160,93,1
002074.XSHE,0.49044586,157,77,0
000100.XSHE,0.578512397,121,70,1
000725.XSHE,0.506944444,144,73,1
600518.XSHG,0.524691358,162,85,1
601688.XSHG,0.606557377,122,74,1
002044.XSHE,0.48951049,143,70,0
000963.XSHE,0.568862275,167,95,1
601718.XSHG,0.456,125,57,0
000415.XSHE,0.516129032,124,64,1
600157.XSHG,0.484615385,130,63,0
600660.XSHG,0.574358974,195,112,1
600690.XSHG,0.537414966,147,79,1
601009.XSHG,0.427184466,103,44,0
002081.XSHE,0.493975904,166,82,0
600376.XSHG,0.560810811,148,83,1
600816.XSHG,0.576923077,104,60,1
600535.XSHG,0.582781457,151,88,1
600019.XSHG,0.565217391,115,65,1
600809.XSHG,0.524324324,185,97,1
000568.XSHE,0.574358974,195,112,1
000839.XSHE,0.506410256,156,79,1
002050.XSHE,0.545454545,154,84,1
600340.XSHG,0.580645161,155,90,1
300136.XSHE,0.545918367,196,107,1
000503.XSHE,0.540880503,159,86,1
002475.XSHE,0.598639456,147,88,1
601238.XSHG,0.5,98,49,0
600893.XSHG,0.517985612,139,72,1
600176.XSHG,0.463541667,192,89,0
002027.XSHE,0.624161074,149,93,1
002007.XSHE,0.589147287,129,76,1
601212.XSHG,0.548387097,31,17,1
600926.XSHG,0.444444444,9,4,0
600663.XSHG,0.467213115,122,57,0
