,code,date,close,high,low,volume,open,MACD_dif,MACD_dea,MACD_macd,EMA_5,EMA_10,EMA_gap,KDJ_K,KDJ_D,KDJ_J,RSI,MOM_12,MOM_25,MOM_gap,Long_Short_Rate_OBV,Volume
0,000001.XSHE,2017/9/12,11.54,11.54,11.27,84618342,11.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84618342.0,84618342
1,000001.XSHE,2017/9/13,11.43,11.54,11.34,66823742,11.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6682374.2,66823742
2,000001.XSHE,2017/9/14,11.32,11.59,11.24,88308777,11.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47939050.3714,88308777
3,000001.XSHE,2017/9/15,11.29,11.32,11.15,64609481,11.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41806134.7647,64609481
4,000001.XSHE,2017/9/18,11.25,11.32,11.2,60761296,11.25,0.0,0.0,0.0,11.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10126882.6667,60761296
5,000001.XSHE,2017/9/19,11.13,11.34,11.08,76421262,11.25,0.0,0.0,0.0,11.2873333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47028468.9231,76421262
6,000001.XSHE,2017/9/20,11.29,11.37,11.05,78715469,11.14,0.0,0.0,0.0,11.2882222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39357734.5,78715469
7,000001.XSHE,2017/9/21,11.46,11.51,11.2,69240793,11.26,0.0,0.0,0.0,11.3454814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46905053.3226,69240793
8,000001.XSHE,2017/9/22,11.44,11.52,11.31,59392762,11.43,0.0,0.0,0.0,11.3769876543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14141133.8095,59392762
9,000001.XSHE,2017/9/25,11.29,11.45,11.18,53239104,11.44,0.0,0.0,0.0,11.3479917695,11.344,0.00399176954733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9859093.33333,53239104
10,000001.XSHE,2017/9/26,11.05,11.3,10.96,96746090,11.26,0.0,0.0,0.0,11.2486611797,11.2905454545,-0.0418842748472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45527571.7647,96746090
11,000001.XSHE,2017/9/27,10.93,11.08,10.9,72718820,11.01,0.0,0.0,0.0,11.1424407865,11.2249917355,-0.0825509490717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48479213.3333,72718820
12,000001.XSHE,2017/9/28,10.88,10.98,10.82,51722002,10.98,0.0,0.0,0.0,11.0549605243,11.1622659654,-0.107305441129,9.23195084485,24.6907890994,-21.6857256642,25.0,-0.66,0.0,0.0,-12930500.5,51722002
13,000001.XSHE,2017/9/29,11.11,11.16,10.86,68228010,10.92,-0.0845902231262,-0.0749823794334,-0.00960784369279,11.0733070162,11.1527630626,-0.0794560464255,18.2795698925,16.2337145133,22.3712806509,36.9791666667,-0.32,0.0,0.0,45485340.0,68228010
