,code,date,avg_price,win_rate,MACD_macd,EMA_gap,KDJ_J,RSI,MOM,MOM_gap,OBV,Long_Short_Rate_OBV,KDJ_J_pre,MOM_pre,MOM_gap_pre,OBV_pre,Long_Short_Rate_OBV_pre,MACD_macd_pre,EMA_gap_pre
50,300070.XSHE,2010-04-21,148.4,1.0,4,4,1,4,4,4,-2,1,4,4,4,-2,1,4,4
51,300070.XSHE,2010-04-22,151.15,1.0,4,4,4,4,4,4,-2,1,4,4,4,-2,1,4,4
52,300070.XSHE,2010-04-23,158.37,-1.0,4,4,4,4,4,4,-2,1,3,4,4,-2,1,4,4
53,300070.XSHE,2010-04-26,170.65,-1.0,4,4,3,4,4,4,-2,1,2,4,4,-2,1,4,4
54,300070.XSHE,2010-04-27,169.5,-1.0,4,4,2,4,4,4,-2,1,1,1,1,-2,1,2,4
55,300070.XSHE,2010-04-28,157.1,-1.0,2,4,1,4,1,1,-2,1,1,-1,0,-2,1,-4,4
56,300070.XSHE,2010-04-29,149.75,-1.0,-4,4,1,4,-1,0,-2,1,1,-3,-2,-2,1,-4,4
57,300070.XSHE,2010-04-30,148.8,-1.0,-4,4,1,4,-3,-1,-2,1,-2,-4,-4,-2,1,-4,4
58,300070.XSHE,2010-05-04,138.725,-1.0,-4,4,-2,4,-4,-4,-2,1,-3,-4,-4,-2,1,-4,4
59,300070.XSHE,2010-05-05,140.125,-1.0,-4,4,-3,4,-4,-4,-2,1,-4,-4,-2,-2,1,-4,4
60,300070.XSHE,2010-05-06,140.655,-1.0,-4,4,-4,3,-4,-2,-2,1,-4,-4,-3,-2,1,-4,4
61,300070.XSHE,2010-05-07,128.975,-1.0,-4,4,-4,2,-4,-3,-2,1,-3,-4,-4,-2,1,-4,2
62,300070.XSHE,2010-05-10,123.09,-1.0,-4,2,-3,1,-4,-4,-2,1,-3,-4,-3,-2,1,-4,0
63,300070.XSHE,2010-05-11,119.065,-1.0,-4,0,-3,1,-4,-3,-2,1,-2,-4,-3,-2,1,-4,-1
64,300070.XSHE,2010-05-12,116.885,-1.0,-4,-1,-2,1,-4,-3,-2,1,-2,-4,-3,-2,1,-4,-2
65,300070.XSHE,2010-05-13,118.375,-1.0,-4,-2,-2,1,-4,-3,-2,1,-1,-3,-1,-2,1,-4,-2
66,300070.XSHE,2010-05-14,117.1,-1.0,-4,-2,-1,1,-3,-1,-2,1,-2,-2,-1,-2,1,-4,-3
67,300070.XSHE,2010-05-17,114.245,1.0,-4,-3,-2,0,-2,-1,-2,1,-3,-2,-1,-2,1,-4,-3
68,300070.XSHE,2010-05-18,110.76,-1.0,-4,-3,-3,0,-2,-1,-2,1,-2,-1,0,-2,1,-3,-3
69,300070.XSHE,2010-05-19,113.225,-1.0,-3,-3,-2,1,-1,0,-2,1,-1,-1,0,-2,1,-1,-3
70,300070.XSHE,2010-05-20,114.75,1.0,-1,-3,-1,0,-1,0,-2,1,1,-1,0,-2,1,-1,-2
71,300070.XSHE,2010-05-21,114.0,-1.0,-1,-2,1,1,-1,0,-2,1,3,1,2,-2,1,2,-1
72,300070.XSHE,2010-05-24,121.59,-1.0,2,-1,3,1,1,2,-2,1,3,2,2,-2,1,2,-1
